age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income,altersgruppe,income_per_hour,capital_income_per_hour
22,3,5,7,1,2,4,1,1,0,0,40,1,0,Young,0.0,0.0
25,3,1,10,1,0,3,1,0,0,0,40,1,0,Middle-aged,0.0,0.0
26,1,3,9,1,2,1,1,1,0,0,40,1,0,Middle-aged,0.0,0.0
22,3,0,13,1,11,1,1,1,0,0,25,1,0,Young,0.0,0.0
42,3,1,10,1,5,4,0,0,0,625,40,1,0,Experienced,-0.3004807692307692,-0.3004807692307692
38,4,0,13,2,3,1,1,1,0,0,40,1,0,Middle-aged,0.0,0.0
55,3,5,7,0,7,0,1,1,0,0,30,1,0,Experienced,0.0,0.0
32,3,3,9,0,11,0,1,1,0,0,40,1,0,Middle-aged,0.0,0.0
22,3,3,9,0,2,0,1,1,0,0,45,1,0,Young,0.0,0.0
29,3,0,13,1,11,3,1,1,0,0,40,1,0,Middle-aged,0.0,0.0
46,6,4,14,0,3,0,1,1,0,0,45,1,1,Experienced,0.0,0.0
31,3,1,10,0,3,0,1,1,0,0,40,1,1,Middle-aged,0.0,0.0
58,5,2,16,0,9,0,1,1,0,0,16,1,1,Experienced,0.0,0.0
42,3,3,9,0,2,0,1,1,0,0,45,1,0,Experienced,0.0,0.0
18,3,3,9,1,5,4,1,1,0,0,25,1,0,Young,0.0,0.0
58,1,3,9,2,3,1,1,1,0,0,33,1,0,Experienced,0.0,0.0
34,3,4,14,1,9,1,1,1,0,0,40,1,0,Middle-aged,0.0,0.0
26,3,0,13,1,0,1,1,0,0,0,40,1,0,Middle-aged,0.0,0.0
61,3,5,8,0,3,0,1,1,0,0,60,1,0,Senior,0.0,0.0
48,1,4,14,2,0,4,0,0,0,0,40,1,0,Experienced,0.0,0.0
36,3,1,10,0,3,0,1,1,0,0,45,1,1,Middle-aged,0.0,0.0
24,3,1,11,0,6,0,1,1,0,0,45,1,0,Young,0.0,0.0
40,3,1,10,0,6,0,1,1,0,0,37,1,0,Experienced,0.0,0.0
33,4,3,9,0,11,0,1,1,0,0,50,1,1,Middle-aged,0.0,0.0
34,3,4,14,1,3,3,1,1,4650,0,40,1,0,Middle-aged,2.235576923076923,2.235576923076923
56,4,1,10,0,3,0,1,1,15024,0,40,1,1,Experienced,7.223076923076923,7.223076923076923
28,7,3,9,0,14,3,1,0,0,0,38,1,1,Middle-aged,0.0,0.0
37,3,0,13,3,3,1,1,0,0,0,55,1,0,Middle-aged,0.0,0.0
44,3,3,9,2,11,4,0,0,0,0,40,1,0,Experienced,0.0,0.0
64,7,1,10,0,14,0,1,1,0,0,8,1,0,Senior,0.0,0.0
54,3,3,9,2,5,1,1,1,0,0,45,1,0,Experienced,0.0,0.0
23,3,3,9,1,6,1,1,1,0,0,50,1,0,Young,0.0,0.0
34,6,0,13,1,4,1,0,1,0,0,40,0,0,Middle-aged,0.0,0.0
22,3,3,9,1,7,1,1,0,0,0,45,1,0,Young,0.0,0.0
39,3,0,13,2,9,1,1,1,0,0,50,1,1,Middle-aged,0.0,0.0
47,3,1,10,2,0,1,0,0,0,0,37,1,0,Experienced,0.0,0.0
79,7,5,4,3,14,1,1,1,0,0,40,1,0,Senior,0.0,0.0
26,3,3,9,1,9,4,0,0,0,0,55,1,0,Middle-aged,0.0,0.0
31,3,1,10,2,3,4,1,0,0,0,40,1,0,Middle-aged,0.0,0.0
44,3,1,10,1,13,1,1,1,0,0,45,1,0,Experienced,0.0,0.0
42,4,4,15,0,9,5,1,0,0,0,50,1,1,Experienced,0.0,0.0
19,3,3,9,1,6,1,1,0,0,0,40,1,0,Young,0.0,0.0
27,3,3,9,0,5,0,1,1,0,0,40,1,1,Middle-aged,0.0,0.0
51,1,1,10,0,10,0,1,1,0,0,40,1,1,Experienced,0.0,0.0
28,4,0,13,0,3,0,1,1,0,0,50,1,0,Middle-aged,0.0,0.0
57,3,0,13,2,2,1,1,1,0,0,45,1,0,Experienced,0.0,0.0
45,1,0,13,2,9,4,1,0,0,0,40,1,0,Experienced,0.0,0.0
50,3,1,11,0,9,0,1,1,0,0,40,1,1,Experienced,0.0,0.0
34,4,0,13,0,11,0,1,1,0,0,54,1,0,Middle-aged,0.0,0.0
45,3,5,4,0,2,0,0,1,0,0,40,1,0,Experienced,0.0,0.0
73,1,3,9,0,3,0,1,1,0,0,20,1,0,Senior,0.0,0.0
34,3,0,13,0,9,5,1,0,0,0,50,1,1,Middle-aged,0.0,0.0
31,3,1,10,0,11,0,1,1,0,0,55,1,1,Middle-aged,0.0,0.0
19,3,5,7,1,11,1,1,1,0,0,12,1,0,Young,0.0,0.0
25,3,1,10,1,7,3,1,0,0,0,50,1,0,Middle-aged,0.0,0.0
38,0,1,11,2,2,4,1,0,6497,0,40,1,0,Middle-aged,3.1235576923076924,3.1235576923076924
39,3,0,13,0,13,0,1,1,0,0,40,1,0,Middle-aged,0.0,0.0
23,3,0,13,1,12,3,0,0,0,0,32,1,0,Young,0.0,0.0
49,3,3,9,0,6,0,1,1,0,0,40,1,0,Experienced,0.0,0.0
33,0,3,9,1,7,1,1,1,0,0,32,1,0,Middle-aged,0.0,0.0
21,3,5,3,1,6,2,1,1,0,0,38,0,0,Young,0.0,0.0
31,3,1,11,2,2,1,1,1,0,0,40,1,0,Middle-aged,0.0,0.0
23,3,0,13,1,3,1,1,0,0,0,45,1,0,Young,0.0,0.0
34,3,0,13,0,0,0,0,1,0,0,40,0,0,Middle-aged,0.0,0.0
25,3,3,9,1,6,1,0,0,0,0,40,0,0,Middle-aged,0.0,0.0
39,3,3,9,1,2,4,1,1,0,0,40,1,0,Middle-aged,0.0,0.0
52,4,3,9,0,11,0,1,1,0,0,40,1,1,Experienced,0.0,0.0
63,1,5,5,0,13,0,1,1,7688,0,40,1,1,Senior,3.6961538461538463,3.6961538461538463
41,3,1,10,0,2,0,1,1,0,0,40,1,0,Experienced,0.0,0.0
46,3,0,13,0,9,0,1,1,15024,0,38,1,1,Experienced,7.603238866396761,7.603238866396761
53,1,3,9,0,3,0,1,1,0,0,40,1,0,Experienced,0.0,0.0
25,7,5,5,2,14,1,1,0,1055,0,40,1,0,Middle-aged,0.5072115384615384,0.5072115384615384
77,7,1,10,0,14,0,1,1,0,0,35,1,0,Senior,0.0,0.0
18,3,5,8,1,8,3,1,1,0,0,40,1,0,Young,0.0,0.0
38,3,4,15,0,9,0,1,1,0,0,50,1,0,Middle-aged,0.0,0.0
55,3,4,14,1,3,4,0,0,0,0,50,0,0,Experienced,0.0,0.0
34,3,3,9,0,12,0,1,1,0,0,40,1,1,Middle-aged,0.0,0.0
34,3,1,11,2,12,4,1,0,0,0,60,1,0,Middle-aged,0.0,0.0
52,3,1,10,0,12,0,1,1,5013,0,40,1,0,Experienced,2.410096153846154,2.410096153846154
42,3,3,9,1,7,4,0,0,0,0,28,0,0,Experienced,0.0,0.0
26,3,1,10,1,11,1,1,0,0,0,40,1,0,Middle-aged,0.0,0.0
31,3,3,9,0,13,0,1,1,0,0,40,1,0,Middle-aged,0.0,0.0
25,1,3,9,1,7,3,1,0,0,0,35,1,0,Middle-aged,0.0,0.0
19,3,1,10,1,7,3,1,0,0,0,12,1,0,Young,0.0,0.0
62,5,1,10,0,13,0,1,1,0,0,32,1,0,Senior,0.0,0.0
22,0,1,10,1,0,3,1,0,0,0,20,1,0,Young,0.0,0.0
39,7,3,9,0,14,5,1,0,0,0,50,1,0,Middle-aged,0.0,0.0
35,3,3,9,0,5,0,1,1,0,0,40,1,0,Middle-aged,0.0,0.0
28,3,3,9,0,11,3,1,0,0,0,40,1,0,Middle-aged,0.0,0.0
47,3,3,9,0,13,0,1,1,0,0,70,1,1,Experienced,0.0,0.0
44,6,3,9,0,6,0,1,1,0,0,40,1,0,Experienced,0.0,0.0
21,3,1,10,1,11,3,1,1,0,0,15,1,0,Young,0.0,0.0
35,3,1,11,1,2,1,1,1,0,0,50,1,0,Middle-aged,0.0,0.0
24,3,0,13,0,9,0,1,1,0,0,40,1,1,Young,0.0,0.0
42,0,0,13,1,9,1,1,1,0,0,40,0,0,Experienced,0.0,0.0
28,3,0,13,1,12,3,1,1,0,0,50,1,0,Middle-aged,0.0,0.0
21,3,1,10,1,6,2,1,1,0,0,35,1,0,Young,0.0,0.0
62,0,1,10,2,12,1,0,1,4650,0,40,1,0,Senior,2.235576923076923,2.235576923076923
39,3,3,9,1,7,1,0,0,0,0,40,1,0,Middle-aged,0.0,0.0
30,6,3,9,1,7,1,1,1,0,0,40,1,0,Middle-aged,0.0,0.0
50,3,1,10,0,3,5,1,0,0,0,50,1,0,Experienced,0.0,0.0
28,1,4,14,1,9,1,1,1,0,0,40,1,0,Middle-aged,0.0,0.0
29,3,1,10,1,9,1,1,0,0,0,40,1,0,Middle-aged,0.0,0.0
26,3,0,13,1,0,3,1,0,0,0,40,1,0,Middle-aged,0.0,0.0
27,3,4,14,1,3,1,1,0,0,0,40,1,0,Middle-aged,0.0,0.0
29,3,1,10,0,5,0,1,1,3103,0,40,1,1,Middle-aged,1.491826923076923,1.491826923076923
61,7,3,9,0,14,0,1,1,0,0,40,1,0,Senior,0.0,0.0
29,3,5,6,0,2,0,1,1,0,0,25,1,0,Middle-aged,0.0,0.0
21,7,1,10,1,14,3,1,0,0,0,30,1,0,Young,0.0,0.0
31,3,5,7,0,11,5,1,0,0,0,20,1,0,Middle-aged,0.0,0.0
25,3,3,9,0,3,0,1,1,0,0,75,1,0,Middle-aged,0.0,0.0
58,3,5,6,0,13,0,1,1,0,0,40,1,1,Experienced,0.0,0.0
64,3,1,10,0,3,5,1,0,0,0,40,1,1,Senior,0.0,0.0
46,6,4,14,1,3,1,1,1,0,0,38,1,0,Experienced,0.0,0.0
53,7,3,9,0,14,0,1,1,0,0,35,1,1,Experienced,0.0,0.0
19,3,3,9,1,7,3,0,0,0,0,35,1,0,Young,0.0,0.0
42,3,3,9,2,7,1,0,1,0,0,52,1,0,Experienced,0.0,0.0
18,3,5,7,1,5,3,1,1,0,0,24,1,0,Young,0.0,0.0
58,4,0,13,0,2,0,1,1,15024,0,50,1,1,Experienced,5.7784615384615385,5.7784615384615385
20,3,1,10,1,10,1,0,1,0,0,60,1,0,Young,0.0,0.0
35,0,3,9,0,2,0,1,1,0,0,40,1,1,Middle-aged,0.0,0.0
32,3,3,9,0,5,0,1,1,0,0,38,1,1,Middle-aged,0.0,0.0
23,3,3,9,1,5,1,1,0,0,0,25,1,0,Young,0.0,0.0
31,3,1,10,2,12,4,1,0,0,0,40,1,0,Middle-aged,0.0,0.0
33,3,0,13,0,11,0,0,1,0,0,55,1,0,Middle-aged,0.0,0.0
41,3,1,10,1,6,1,1,0,0,0,48,1,0,Experienced,0.0,0.0
22,3,3,9,1,6,3,0,1,0,0,40,1,0,Young,0.0,0.0
46,3,1,10,0,10,0,1,1,0,0,40,1,1,Experienced,0.0,0.0
61,0,1,10,0,13,0,0,1,0,0,40,1,0,Senior,0.0,0.0
30,3,3,9,1,3,1,0,1,0,0,40,1,0,Middle-aged,0.0,0.0
42,3,3,9,0,3,0,1,1,0,0,55,1,1,Experienced,0.0,0.0
63,3,5,6,0,5,0,1,1,0,0,40,1,0,Senior,0.0,0.0
26,3,1,10,0,11,0,1,1,0,0,40,1,0,Middle-aged,0.0,0.0
42,3,5,6,2,0,4,1,0,0,0,40,1,0,Experienced,0.0,0.0
23,3,1,10,0,7,0,1,1,0,0,40,1,0,Young,0.0,0.0
30,3,5,5,0,7,0,1,1,0,0,32,0,1,Middle-aged,0.0,0.0
23,3,3,9,1,11,3,1,1,0,0,40,1,0,Young,0.0,0.0
39,3,1,10,0,2,0,1,1,0,0,40,1,1,Middle-aged,0.0,0.0
38,1,1,10,2,0,4,1,0,0,0,38,1,0,Middle-aged,0.0,0.0
26,3,3,9,2,3,3,1,0,0,0,40,1,0,Middle-aged,0.0,0.0
20,3,1,10,1,5,3,1,1,0,0,16,1,0,Young,0.0,0.0
37,1,0,13,1,9,4,0,1,0,0,40,0,0,Middle-aged,0.0,0.0
33,3,3,9,0,0,3,1,0,0,0,40,1,0,Middle-aged,0.0,0.0
24,3,0,13,1,0,3,1,1,0,0,40,1,0,Young,0.0,0.0
42,4,0,13,0,3,0,1,1,0,0,60,1,1,Experienced,0.0,0.0
56,1,1,12,0,12,0,1,1,0,0,45,1,1,Experienced,0.0,0.0
22,3,1,10,1,5,3,1,1,0,0,40,1,0,Young,0.0,0.0
52,5,1,10,0,4,0,1,1,0,0,60,1,0,Experienced,0.0,0.0
44,3,0,13,2,3,4,1,0,4934,0,45,1,1,Experienced,2.1085470085470086,2.1085470085470086
34,3,3,9,0,0,5,1,0,4064,0,35,1,0,Middle-aged,2.232967032967033,2.232967032967033
51,3,1,10,2,2,1,1,1,0,0,42,1,1,Experienced,0.0,0.0
20,7,1,10,1,14,1,1,1,0,0,40,1,0,Young,0.0,0.0
19,3,1,10,1,11,1,1,0,0,0,25,1,0,Young,0.0,0.0
37,3,0,13,0,3,0,1,1,0,0,40,1,1,Middle-aged,0.0,0.0
68,3,3,9,0,6,0,0,1,0,0,40,1,1,Senior,0.0,0.0
22,3,1,10,2,10,1,1,1,0,0,40,1,0,Young,0.0,0.0
56,4,0,13,0,3,0,1,1,0,0,40,1,0,Experienced,0.0,0.0
37,3,3,9,0,2,0,1,1,0,0,40,1,0,Middle-aged,0.0,0.0
26,3,3,9,2,5,3,1,1,0,0,40,0,0,Middle-aged,0.0,0.0
33,3,4,14,0,9,0,1,1,0,0,50,1,0,Middle-aged,0.0,0.0
45,1,4,14,2,9,4,1,0,0,0,42,1,0,Experienced,0.0,0.0
18,3,5,7,1,7,3,1,1,0,0,15,1,0,Young,0.0,0.0
43,5,1,10,0,4,0,1,1,0,0,60,1,1,Experienced,0.0,0.0
64,5,2,16,0,9,0,1,1,15024,0,50,0,1,Senior,5.7784615384615385,5.7784615384615385
18,3,3,9,1,5,3,1,1,0,0,20,1,0,Young,0.0,0.0
20,7,1,10,1,14,3,1,1,0,0,45,1,0,Young,0.0,0.0
57,3,3,9,0,2,0,1,1,0,0,40,1,1,Experienced,0.0,0.0
41,3,3,9,2,0,4,1,0,3674,0,42,1,0,Experienced,1.6822344322344323,1.6822344322344323
19,3,3,9,1,11,4,1,0,0,0,40,1,0,Young,0.0,0.0
44,3,5,5,2,7,4,1,0,0,0,55,0,0,Experienced,0.0,0.0
56,3,5,6,3,7,4,1,0,0,0,40,1,0,Experienced,0.0,0.0
48,3,0,13,2,3,4,1,0,0,0,48,1,0,Experienced,0.0,0.0
29,3,3,9,0,13,0,1,1,0,0,40,1,1,Middle-aged,0.0,0.0
33,3,0,13,1,2,1,1,1,2174,0,40,1,0,Middle-aged,1.0451923076923078,1.0451923076923078
31,3,5,3,0,7,0,1,1,0,0,40,0,0,Middle-aged,0.0,0.0
39,3,4,14,0,9,0,1,1,0,0,45,1,1,Middle-aged,0.0,0.0
66,3,3,9,0,3,0,1,1,10605,0,40,1,1,Senior,5.0985576923076925,5.0985576923076925
27,3,0,13,1,9,1,1,0,0,0,50,1,1,Middle-aged,0.0,0.0
59,3,5,4,0,2,0,1,1,5178,0,50,1,1,Experienced,1.9915384615384615,1.9915384615384615
